,Date,Closed PnL
308,2024-11-11,6749.630996
309,2024-11-12,279545.592036
310,2024-11-13,7864.007554
311,2024-11-14,2348.106228
312,2024-11-15,2003.536586
313,2024-11-16,1284.993507
314,2024-11-17,882.975285
315,2024-11-18,3785.732754
316,2024-11-19,2958.268991
317,2024-11-20,2391.4507399999998
318,2024-11-21,1689.746597
319,2024-11-22,-17844.435931
320,2024-11-23,2901.531638
321,2024-11-24,945.550386
322,2024-11-25,5523.740734
323,2024-11-26,1563.42411
324,2024-11-27,-2848.159792
325,2024-11-28,-127240.932229
326,2024-11-29,165677.87587699998
327,2024-11-30,31666.420398000002
328,2024-12-01,-1925.519024
329,2024-12-02,913.8817869999998
330,2024-12-03,3039.166
331,2024-12-04,-592.6458390000001
332,2024-12-05,0.0
333,2024-12-06,-21886.531493
334,2024-12-07,1412.314654
335,2024-12-08,858.6705000000001
336,2024-12-10,541.55471
337,2024-12-11,3494.399394
338,2024-12-12,452366.400647
339,2024-12-13,17924.654475
340,2024-12-14,151327.038996
341,2024-12-15,83808.61275
342,2024-12-16,17664.272137
343,2024-12-17,86017.010715
344,2024-12-18,7783.257891
345,2024-12-19,26017.841302
346,2024-12-20,16757.771443
347,2024-12-21,39095.418634
348,2024-12-22,3782.836565
349,2024-12-23,37994.898828
350,2024-12-24,3591.686652
351,2024-12-25,271.246809
352,2024-12-26,57023.058
353,2024-12-27,1927.098294
354,2024-12-28,434.16107200000005
355,2024-12-29,2768.555744
356,2024-12-30,5687.559679
357,2024-12-31,2705.471241
358,2025-01-01,17.784696
359,2025-01-02,29253.639642000002
360,2025-01-03,9591.814535
361,2025-01-04,4859.017429
362,2025-01-05,166756.903287
363,2025-01-13,7980.303812
364,2025-01-14,3058.320401
365,2025-01-15,13455.368906
366,2025-01-16,6605.193867
367,2025-01-17,5846.239261
368,2025-01-18,10633.193318
369,2025-01-19,83898.875486
370,2025-01-20,68034.992762
371,2025-01-21,6440.168799
372,2025-01-22,6610.973301
373,2025-01-23,33919.327143
374,2025-01-24,7782.950597
375,2025-01-25,-12747.445645
376,2025-01-26,39538.046936
377,2025-01-27,8200.124749999999
378,2025-01-28,10000.071297
379,2025-01-29,87.316134
380,2025-01-30,20631.842206
381,2025-01-31,17550.700743
382,2025-02-01,7291.453445
383,2025-02-02,152355.441799
384,2025-02-03,23844.438422
385,2025-02-04,196578.526276
386,2025-02-13,5066.719059
387,2025-02-14,215274.018742
388,2025-02-15,40565.406082
389,2025-02-16,1988.079458
390,2025-02-17,1591.052029
391,2025-02-18,87223.859839
392,2025-02-19,9034.184084
393,2025-02-20,41854.147591
394,2025-02-21,106115.887175
395,2025-02-22,8404.470218
396,2025-02-23,10230.96415
397,2025-02-24,47806.732059
398,2025-02-25,212677.312294
399,2025-02-26,39255.733532
400,2025-02-27,8321.924042
401,2025-02-28,136510.047406
402,2025-03-01,4840.115695
403,2025-03-02,182584.570707
404,2025-03-03,555373.555474
405,2025-03-04,6194.292201
406,2025-03-13,3737.095192
407,2025-03-14,67507.09051
408,2025-03-15,76335.793581
409,2025-03-16,8430.777568
410,2025-03-17,7034.938691
411,2025-03-18,69075.905179
412,2025-03-19,23156.370463
413,2025-03-20,5905.891831
414,2025-03-21,39.1247
415,2025-03-22,6378.235782
416,2025-03-23,3777.853376
417,2025-03-24,47973.673608
418,2025-03-25,3984.690865
419,2025-03-26,6892.054702
420,2025-03-27,50710.595151
421,2025-03-28,18386.792982
422,2025-03-29,15416.811517
423,2025-03-30,9954.446766
424,2025-03-31,10503.030892
425,2025-04-01,1764.069318
426,2025-04-02,414778.622414
427,2025-04-03,181403.890596
428,2025-04-04,21985.709738
429,2025-04-13,9883.709793
430,2025-04-14,18495.504187
431,2025-04-15,51980.378219
432,2025-04-16,58858.734828
433,2025-04-17,1767.9537
434,2025-04-18,44823.972322
435,2025-04-19,64990.71654
436,2025-04-20,16426.144904
437,2025-04-21,31680.916460999997
438,2025-04-22,75964.091822
439,2025-04-23,-340035.95186800003
440,2025-04-24,45632.958348
441,2025-04-25,21767.163348
442,2025-04-26,-4192.0207
443,2025-04-27,992.6069630000001
444,2025-04-28,32898.310018
445,2025-04-29,117187.841589
446,2025-04-30,10973.023455
447,2025-05-01,2006.9104120000002
448,2025-05-02,55295.596747999996
449,2025-05-03,231061.849328
450,2025-05-04,2870.792737
451,2025-06-01,4688.668597
452,2025-06-02,57371.820993
453,2025-06-03,4470.168676
454,2025-06-04,20893.808281
455,2025-07-01,15830.381304
456,2025-07-02,20032.255486
457,2025-07-03,91470.403528
458,2025-07-04,-32289.439798
459,2025-08-01,6391.4791350000005
460,2025-08-02,776.166689
461,2025-08-03,17592.476470999998
462,2025-08-04,19083.273397
463,2025-09-01,11051.28622
464,2025-09-02,150315.965633
465,2025-09-03,8066.270474
466,2025-09-04,-14124.692708999999
467,2025-10-01,-35311.822889999996
468,2025-10-02,59644.867490000004
469,2025-10-03,12292.615896000001
470,2025-10-04,42460.103975
471,2025-11-01,2048.879456
472,2025-11-02,-8588.743007
473,2025-11-03,-19064.79736
474,2025-11-04,-466.8653550000005
475,2025-12-01,4540.056089
476,2025-12-02,17902.664731
477,2025-12-03,290819.072758
478,2025-12-04,405696.858067
